Name,Artist,Composer,Album,Grouping,Genre,Size,Time,Disc Number,Disc Count,Track Number,Track Count,Year,Date Modified,Date Added,Bit Rate,Sample Rate,Volume Adjustment,Kind,Equalizer,Comments,Plays,Last Played,Skips,Last Skipped,My Rating,Location
The Black Block (Rustie Remix),Modeselektor,,Modeselektor Remixes,,Bass,8047437,199,,,2,4,2008,12/29/2013 1:23,9/11/2012 22:08,320,44100,,MPEG audio file,,Dubstep -,3,2/8/2013 14:41,,,,H:\LAPTOP\Other Music\Modeselektor -The Black Block  Rustie Remix.mp3
G.A.P.,Decibel,,Decibel EP,,Bass,10780667,263,,,1,,2012,12/29/2013 7:05,9/11/2012 22:08,320,44100,,MPEG audio file,,,,,,,,H:\LAPTOP\Other Music\Decibel - Decibel\Decibel - Decibel [TEC063]\01_G.A.P.mp3
Pussy Out The Shower [Prod. By Hot Rod],Project Pat & Nasty Mane,DJ Smallz,Nasty Mane & Project Pat - Belly On Full,,Rap,3791391,156,,,10,,2012,12/29/2013 2:09,9/20/2012 22:42,192,44100,,MPEG audio file,,,3,1/26/2013 15:03,,,,H:\LAPTOP\Other Music\Project_Pat_&_Nasty_Mane-Pussy_Out_The_Shower_Prod_By_Hot_Rod.mp3
Stay,Pixelord,,Crystal Waves,,Future Garage,6631873,160,,,9,,2012,12/29/2013 8:38,9/18/2012 13:44,320,44100,,MPEG audio file,,,1,1/26/2013 15:01,1,12/11/2015 23:40,,H:\LAPTOP\Other Music\Crystal Waves [SNTN004]\Crystal Waves [SNTN004]\09_Pixelord - Stay.mp3
I Go Boom,Addison Groove,,Adventures In Rainbow Country,,Bass,11989432,283,,,1,4,2012,12/29/2013 6:20,9/14/2012 11:23,320,44100,,MPEG audio file,,,4,12/22/2012 18:35,,,,H:\LAPTOP\Other Music\50 Weapons 50WEAPONS022 - Addison Groove - Adventures In Rainbow Country\I Go Boom.mp3
Lies (Skream Remix),Burns,,Lies,,Electro,11219397,276,1,1,3,6,2012,12/29/2013 6:33,9/14/2012 12:52,320,44100,,MPEG audio file,,,2,12/22/2012 18:40,,,,H:\LAPTOP\Other Music\BURNS - Lies\03_Lies (Skream Remix).mp3
Overthinking (Supreme Cuts Remix) [2:00-2:20 fade],Ryan Hemsworth,,Last Words,,Bass,12131959,290,,,7,,2012,12/29/2013 0:42,9/11/2012 22:08,320,44100,,MPEG audio file,,,7,10/24/2013 1:07,,,,H:\LAPTOP\Other Music\Ryan Hemsworth - Last Words\Ryan Hemsworth - Last Words\07_Overthinking (Supreme Cuts Remix).mp3
The Black Brad Pitt (Gesaffelstein Remix),Evil Nine ft. Danny Brown,,The Black Brad Pitt,,Trap,7766758,189,,,2,,2012,12/28/2013 23:39,9/11/2012 22:08,320,44100,,MPEG audio file,,,5,1/3/2013 0:43,,,,H:\LAPTOP\Other Music\BRO111\Evil Nine feat Danny Brown - The Black Brad Pitt [BRO111]\02_The Black Brad Pitt (Gesaffelstein Remix).mp3
Higher Ground,TNGHT,,TNGHT,,Trap,8344746,199,,,3,,2012,12/29/2013 0:07,9/11/2012 22:08,320,44100,,MPEG audio file,,,5,2/9/2013 16:53,1,12/12/2015 0:08,,H:\LAPTOP\Other Music\TNGHT\TNGHT - TNGHT [WAP337LM]\03_Higher Ground.mp3
Walk For Me,DJ RASHAD,,Teklife Vol 1: Welcome To The Chi,,Juke / Footwork,12261532,300,,,13,,2012,12/29/2013 3:20,9/11/2012 22:08,320,44100,,MPEG audio file,,,,,2,1/21/2014 17:30,,H:\LAPTOP\Other Music\DJ Rashad - Teklife Volume 1 Welcome To The Chi\DJ Rashad - Teklife Volume 1 Welcome To The Chi [LCTRAX001]\13_Walk For Me.mp3
Freak! Clicks & Whistles Remix,Edgewoode,,Damn! / Freak!,,Bass,11752367,290,1,,3,3,2012,12/29/2013 8:07,9/11/2012 22:08,320,44100,,MPEG audio file,,,,,,,,H:\LAPTOP\Other Music\Edgewoode - Damn Freak\Edgewoode - Damn  Freak [EMB011]\03_Freak! Clicks & Whistles Remix.mp3
Rollup,Flosstradamus,,Jubilation 2.0,,Bass,8444771,210,,,1,,2012,12/29/2013 6:28,9/11/2012 22:09,320,44100,,MPEG audio file,,,4,1/3/2013 12:31,,,,H:\LAPTOP\Other Music\Flosstradamus - 2012 - Jubilation 2.0\01 Rollup.mp3
I Feel Like Dying,Flying Lotus,,From the Blogs 47,,Bass,6571667,162,,,,,,12/29/2013 9:57,9/11/2012 22:08,320,44100,,MPEG audio file,,,,,,,,H:\LAPTOP\Other Music\Flying Lotus - I Feel Like Dying.mp3
Nocturnal Mixtape 4 da kewl kidz,Grove Street,,Nocturnal has trance lol,,Hardstyle Trance Electronic,177037541,7352,,,,,2012,2/26/2017 23:42,9/21/2012 1:10,192,44100,,MPEG audio file,,"Created: September 21, 2012",5,4/28/2016 20:41,,,,H:\LAPTOP\My Music\Pills Here\To Nocturnal\To Nocturnal Mixtape.mp3
